stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone                                                                                                                                                                                                                                           
71801,,Barcelona-Sants,,41.379520,2.140624,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                  
61307,,Cartagena,,37.604967,-0.975122,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
61304,,Torre-Pacheco,,37.746905,-0.967078,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                   
61303,,Balsicas-Mar Menor,,37.81884,-0.950891,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                               
61200,,Murcia,,37.97479,-1.131522,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                           
62002,,Orihuela-Miguel Hernandez,,38.07788,-0.944599,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                        
62103,,Elche Parque/Elx Parc,,38.271872,-0.695123,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
60911,,Alicante/Alacant,,38.344463,-0.494943,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                
60905,,Elda-Petrer,,38.484879,-0.80109,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                      
60902,,Villena,,38.631738,-0.867689,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
64100,,Xativa,,38.992117,-0.524539,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
65000,,Valencia-Estacio del Nord,,39.465064,-0.377433,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                       
65300,,Castello de La Plana/Castellon de La Pl.,,39.987889,-0.052657,,,,,Europe/Madrid                                                                                                                                                                                                                                                                        
65318,,Benicassim/Benicasim,,40.0579451,0.0577646,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
65311,,Benicarlo-Peñiscola,,40.427639,0.415217,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                              
65312,,Vinaros,,40.471682,0.455727,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
65402,,Laldea-Amposta-Tortosa,,40.753542,0.614314,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
65410,,Salou,,41.077438,1.129205,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
71500,,Tarragona,,41.111624,1.253214,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
17000,,Madrid-Chamartin,,40.471184,-3.682807,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                
37606,,Badajoz,,38.890696,-6.981753,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
37603,,Montijo,,38.913539,-6.598577,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
